Projeto,Cod Fornecedor,Fornecedor,CNPJ,Num Obra,Cod Produto,Descrição do Item,Qtde Produto,Valor Unit UR,Valor Produto,Prod Serv,Previsão de execução,Num Provisório,Num OSP,Validação OSP,Status OSP,Nota Fiscal,Enviado SAP,Fase escola,Status escola,Unique ID
"53004230","19001","MEGA INFRA SOLUCOES EM INFRAESTRUTURA LTDA (Filial SP)","07.525.262/0004-61","4-IMPLANTAÇÃO_DE_REDE_INTERNA","","Kit Cobertura Wi-Fi - 12 Access Points - Equip - MEGA - CO","1","21.765,83","21.765,83","Material","06/07/2026","3188","2919","Aprovado","","289","Não","5","Conectada","1780750275537x158573098243903970"
"53004230","19001","MEGA INFRA SOLUCOES EM INFRAESTRUTURA LTDA (Filial SP)","07.525.262/0004-61","4-IMPLANTAÇÃO_DE_REDE_INTERNA","","Nobreak - Equip - MEGA - CO","1","1.491,72","1.491,72","Material","06/07/2026","3188","2919","Aprovado","","290","Não","5","Conectada","1780750276692x501958218714858560"
"53008430","19001","MEGA INFRA SOLUCOES EM INFRAESTRUTURA LTDA (Filial SP)","07.525.262/0004-61","4-IMPLANTAÇÃO_DE_REDE_INTERNA","","Nobreak - Equip - MEGA - CO","1","1.491,72","1.491,72","Material","06/07/2026","3189","2920","Aprovado","","381","Não","5","Conectada","1780750995276x503066937267715440"
"17047196","19001","MEGA INFRA SOLUCOES EM INFRAESTRUTURA LTDA (Filial SP)","07.525.262/0004-61","4-IMPLANTAÇÃO_DE_REDE_INTERNA","","Kit Cobertura Wi-Fi - 1 Access Point - Equip - MEGA - NO","1","7.955,58","7.955,58","Material","06/07/2026","3192","2923","Aprovado","","357","Não","5","Conectada","1780752971970x517227813960265700"
"17052424","19001","MEGA INFRA SOLUCOES EM INFRAESTRUTURA LTDA (Filial SP)","07.525.262/0004-61","4-IMPLANTAÇÃO_DE_REDE_INTERNA","","Kit Cobertura Wi-Fi - 1 Access Point - Equip - MEGA - NO","1","7.955,58","7.955,58","Material","06/07/2026","3192","2923","Aprovado","","355","Não","5","Conectada","1780752972299x184061595297873700"
"17047196","19001","MEGA INFRA SOLUCOES EM INFRAESTRUTURA LTDA (Filial SP)","07.525.262/0004-61","4-IMPLANTAÇÃO_DE_REDE_INTERNA","","Nobreak - Equip - MEGA - NO","1","1.491,72","1.491,72","Material","06/07/2026","3192","2923","Aprovado","","358","Não","5","Conectada","1780752973323x694626684939532800"
"17052424","19001","MEGA INFRA SOLUCOES EM INFRAESTRUTURA LTDA (Filial SP)","07.525.262/0004-61","4-IMPLANTAÇÃO_DE_REDE_INTERNA","","Nobreak - Equip - MEGA - NO","1","1.491,72","1.491,72","Material","06/07/2026","3192","2923","Aprovado","","356","Não","5","Conectada","1780752974120x859617831003115900"
"17053935","19001","MEGA INFRA SOLUCOES EM INFRAESTRUTURA LTDA (Filial SP)","07.525.262/0004-61","4-IMPLANTAÇÃO_DE_REDE_INTERNA","","Kit Cobertura Wi-Fi - 1 Access Point - Equip - MEGA - NO","1","7.955,58","7.955,58","Material","06/07/2026","3193","2924","Aprovado","","319","Não","5","Conectada","1780753545040x484773524501433540"
"17053676","19001","MEGA INFRA SOLUCOES EM INFRAESTRUTURA LTDA (Filial SP)","07.525.262/0004-61","4-IMPLANTAÇÃO_DE_REDE_INTERNA","","Nobreak - Equip - MEGA - NO","1","1.491,72","1.491,72","Material","06/07/2026","3193","2924","Aprovado","","326","Não","5","Conectada","1780753545823x206953860099034370"
"17053935","19001","MEGA INFRA SOLUCOES EM INFRAESTRUTURA LTDA (Filial SP)","07.525.262/0004-61","4-IMPLANTAÇÃO_DE_REDE_INTERNA","","Nobreak - Equip - MEGA - NO","1","1.491,72","1.491,72","Material","06/07/2026","3193","2924","Aprovado","","321","Não","5","Conectada","1780753545964x304672455791790340"
"17065402","19001","MEGA INFRA SOLUCOES EM INFRAESTRUTURA LTDA (Filial SP)","07.525.262/0004-61","4-IMPLANTAÇÃO_DE_REDE_INTERNA","","Nobreak - Equip - MEGA - NO","1","1.491,72","1.491,72","Material","06/07/2026","3193","2924","Aprovado","","330","Não","5","Conectada","1780753547333x436840315710149060"
"17113806","19001","MEGA INFRA SOLUCOES EM INFRAESTRUTURA LTDA (Filial SP)","07.525.262/0004-61","4-IMPLANTAÇÃO_DE_REDE_INTERNA","","Nobreak - Equip - MEGA - NO","1","1.491,72","1.491,72","Material","06/07/2026","3193","2924","Aprovado","","365","Não","5","Conectada","1780753547606x213994515364312580"
"35009110","19001","MEGA INFRA SOLUCOES EM INFRAESTRUTURA LTDA (Filial SP)","07.525.262/0004-61","4-IMPLANTAÇÃO_DE_REDE_INTERNA","","Nobreak - Equip - MEGA - SE","1","1.551,93","1.551,93","Material","06/07/2026","3195","2926","Aprovado","","241","Não","5","Conectada","1780754998707x270209239495398120"
"35267193","19001","MEGA INFRA SOLUCOES EM INFRAESTRUTURA LTDA (Filial SP)","07.525.262/0004-61","4-IMPLANTAÇÃO_DE_REDE_INTERNA","","Kit Cobertura Wi-Fi - 2 Access Points - Equip - MEGA - SE","1","9.512,95","9.512,95","Material","06/07/2026","3196","2927","Aprovado","","245","Não","5","Conectada","1780755494258x106294446684280110"
"35298273","19001","MEGA INFRA SOLUCOES EM INFRAESTRUTURA LTDA (Filial SP)","07.525.262/0004-61","4-IMPLANTAÇÃO_DE_REDE_INTERNA","","Kit Cobertura Wi-Fi - 2 Access Points - Equip - MEGA - SE","1","9.512,95","9.512,95","Material","06/07/2026","3196","2927","Aprovado","","143","Não","5","Conectada","1780755494345x347589729205755000"
"35298281","19001","MEGA INFRA SOLUCOES EM INFRAESTRUTURA LTDA (Filial SP)","07.525.262/0004-61","4-IMPLANTAÇÃO_DE_REDE_INTERNA","","Kit Cobertura Wi-Fi - 2 Access Points - Equip - MEGA - SE","1","9.512,95","9.512,95","Material","06/07/2026","3196","2927","Aprovado","","247","Não","5","Conectada","1780755494460x700074625987971700"
"35267193","19001","MEGA INFRA SOLUCOES EM INFRAESTRUTURA LTDA (Filial SP)","07.525.262/0004-61","4-IMPLANTAÇÃO_DE_REDE_INTERNA","","Nobreak - Equip - MEGA - SE","1","1.551,93","1.551,93","Material","06/07/2026","3196","2927","Aprovado","","246","Não","5","Conectada","1780755495335x569225523089291800"
"35298273","19001","MEGA INFRA SOLUCOES EM INFRAESTRUTURA LTDA (Filial SP)","07.525.262/0004-61","4-IMPLANTAÇÃO_DE_REDE_INTERNA","","Nobreak - Equip - MEGA - SE","1","1.551,93","1.551,93","Material","06/07/2026","3196","2927","Aprovado","","144","Não","5","Conectada","1780755495388x858365673680738600"
"35298281","19001","MEGA INFRA SOLUCOES EM INFRAESTRUTURA LTDA (Filial SP)","07.525.262/0004-61","4-IMPLANTAÇÃO_DE_REDE_INTERNA","","Nobreak - Equip - MEGA - SE","1","1.551,93","1.551,93","Material","06/07/2026","3196","2927","Aprovado","","248","Não","5","Conectada","1780755495513x810307825367250800"
"35009981","19001","MEGA INFRA SOLUCOES EM INFRAESTRUTURA LTDA (Filial SP)","07.525.262/0004-61","4-IMPLANTAÇÃO_DE_REDE_INTERNA","","Kit Cobertura Wi-Fi - 5 Access Points - Equip - MEGA - SE","1","13.221,66","9.512,95","Material","06/07/2026","3198","2929","Aprovado","","128","Não","5","Conectada","1780756403120x288523677734820100"
"35004016","19001","MEGA INFRA SOLUCOES EM INFRAESTRUTURA LTDA (Filial SP)","07.525.262/0004-61","4-IMPLANTAÇÃO_DE_REDE_INTERNA","","Kit Cobertura Wi-Fi - 2 Access Points - Equip - MEGA - SE","1","9.512,95","9.512,95","Material","06/07/2026","3198","2929","Aprovado","","173","Não","5","Conectada","1780756403236x891960493029393400"
